identifier,source,source_id_ref,ui_active_flag,plan,email_present,pedagogical_id_exact_match,pedagogical_rows,firestore_document_verified,canonical_student_id,subscription_id,contract_start,contract_end,cancellation_evidence,operational_eligible
8766ec7a12f562a4,authenticated_ui_export,8766ec7a12f562a4,nao,Diamond,True,True,56,False,,,,,NOT_EXPORTED,UNDETERMINED
e5f5d3df0f59873e,authenticated_ui_export,e5f5d3df0f59873e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
996721ff550cddf2,authenticated_ui_export,996721ff550cddf2,sim,Premium,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
12f6362f705030f1,authenticated_ui_export,12f6362f705030f1,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
08c788641eca41ff,authenticated_ui_export,08c788641eca41ff,sim,Turma,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
e57193260eb295fb,authenticated_ui_export,e57193260eb295fb,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
b373e615470af524,authenticated_ui_export,b373e615470af524,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
ce3a6d097620966f,authenticated_ui_export,ce3a6d097620966f,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
f27ef3531f23f82c,authenticated_ui_export,f27ef3531f23f82c,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
9ddad0d5fb1841c5,authenticated_ui_export,9ddad0d5fb1841c5,sim,Gold,True,True,34,False,,,,,NOT_EXPORTED,UNDETERMINED
9dbfdb3060084ba2,authenticated_ui_export,9dbfdb3060084ba2,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
6b061aed21734cbe,authenticated_ui_export,6b061aed21734cbe,sim,Diamond,True,True,55,False,,,,,NOT_EXPORTED,UNDETERMINED
82ba33b72fa77d33,authenticated_ui_export,82ba33b72fa77d33,sim,Diamond,True,True,69,False,,,,,NOT_EXPORTED,UNDETERMINED
de25ac9cdf90ba4f,authenticated_ui_export,de25ac9cdf90ba4f,sim,Premium,True,True,24,False,,,,,NOT_EXPORTED,UNDETERMINED
e43b51bf06729df7,authenticated_ui_export,e43b51bf06729df7,sim,Gold,True,True,35,False,,,,,NOT_EXPORTED,UNDETERMINED
4fc89df24b198a0c,authenticated_ui_export,4fc89df24b198a0c,sim,Diamond,True,True,56,False,,,,,NOT_EXPORTED,UNDETERMINED
451870b099642a88,authenticated_ui_export,451870b099642a88,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
72839048c3fe1474,authenticated_ui_export,72839048c3fe1474,sim,Turma,True,True,23,False,,,,,NOT_EXPORTED,UNDETERMINED
58c294fd4d5a5d38,authenticated_ui_export,58c294fd4d5a5d38,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
9539b45947ff5c6c,authenticated_ui_export,9539b45947ff5c6c,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
1c55498cb0603257,authenticated_ui_export,1c55498cb0603257,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
9318832bec28d752,authenticated_ui_export,9318832bec28d752,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
21e15f7cec481948,authenticated_ui_export,21e15f7cec481948,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
c1329beeecce8c45,authenticated_ui_export,c1329beeecce8c45,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
030ae7480b8e7bea,authenticated_ui_export,030ae7480b8e7bea,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
7a0517ca1e1a269a,authenticated_ui_export,7a0517ca1e1a269a,sim,Diamond,True,True,117,False,,,,,NOT_EXPORTED,UNDETERMINED
ffc50df2c1c1a310,authenticated_ui_export,ffc50df2c1c1a310,sim,Diamond,True,True,33,False,,,,,NOT_EXPORTED,UNDETERMINED
dc3babfa7beb6a78,authenticated_ui_export,dc3babfa7beb6a78,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
f4f7cfc88543dd52,authenticated_ui_export,f4f7cfc88543dd52,sim,Gold,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
40fe5d2fe25c1bdc,authenticated_ui_export,40fe5d2fe25c1bdc,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
464b71adddf73ea2,authenticated_ui_export,464b71adddf73ea2,sim,Gold,True,True,36,False,,,,,NOT_EXPORTED,UNDETERMINED
935f2ca672bbc25b,authenticated_ui_export,935f2ca672bbc25b,sim,Gold,True,True,38,False,,,,,NOT_EXPORTED,UNDETERMINED
e37eaf9c7fc7d875,authenticated_ui_export,e37eaf9c7fc7d875,sim,Gold,True,True,36,False,,,,,NOT_EXPORTED,UNDETERMINED
ef624dbeb36c9e39,authenticated_ui_export,ef624dbeb36c9e39,sim,Diamond,True,True,62,False,,,,,NOT_EXPORTED,UNDETERMINED
d13cb8e054741b53,authenticated_ui_export,d13cb8e054741b53,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
191dc31e85173b49,authenticated_ui_export,191dc31e85173b49,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
8b4ea6d73efd881e,authenticated_ui_export,8b4ea6d73efd881e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
dad06e6e626ae114,authenticated_ui_export,dad06e6e626ae114,sim,Turma,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
9750f7bb22cc03da,authenticated_ui_export,9750f7bb22cc03da,sim,Diamond,True,True,37,False,,,,,NOT_EXPORTED,UNDETERMINED
4f0d60a9c7138772,authenticated_ui_export,4f0d60a9c7138772,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
4e4b0f3a98291e19,authenticated_ui_export,4e4b0f3a98291e19,sim,Diamond,True,True,64,False,,,,,NOT_EXPORTED,UNDETERMINED
1d2051846e7bfe88,authenticated_ui_export,1d2051846e7bfe88,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
1cc8ace160bcc57e,authenticated_ui_export,1cc8ace160bcc57e,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
3f0e2f3e725401bd,authenticated_ui_export,3f0e2f3e725401bd,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
8c125ee4ef85d4b2,authenticated_ui_export,8c125ee4ef85d4b2,sim,Diamond,True,True,58,False,,,,,NOT_EXPORTED,UNDETERMINED
d3fa2c8d72df36b7,authenticated_ui_export,d3fa2c8d72df36b7,sim,Premium,True,True,12,False,,,,,NOT_EXPORTED,UNDETERMINED
ac9d22d3e21c551a,authenticated_ui_export,ac9d22d3e21c551a,sim,Diamond,True,True,60,False,,,,,NOT_EXPORTED,UNDETERMINED
0d2ab54b47559692,authenticated_ui_export,0d2ab54b47559692,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
7a9eb452193589f4,authenticated_ui_export,7a9eb452193589f4,sim,,True,False,0,False,,,,,NOT_EXPORTED,UNDETERMINED
